Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
1,979941,1979941,10000,2025-06-28,1
2,782453,1782453,10000,2025-04-28,1
3,22329,1022329,10000,2025-07-07,1
4,49889,1049889,10000,2025-11-14,1
5,231285,1231285,10000,2025-06-28,1
6,288651,1288651,10000,2025-01-06,1
7,167303,1167303,10000,2025-06-07,1
8,98591,1098591,10000,2025-05-07,1
9,51714,1051714,10000,2025-01-27,1
10,579443,1579443,10000,2025-08-21,1
11,708125,1708125,10000,2025-11-07,1
12,15191,1015191,10000,2025-11-28,1
13,796966,1796966,10000,2025-02-06,1
14,216165,1216165,10000,2025-10-07,1
15,115766,1115766,10000,2025-08-14,1
16,839469,1839469,10000,2025-02-06,1
17,621244,1621244,10000,2025-04-14,1
18,847082,1847082,10000,2025-05-07,1
19,141584,1141584,10000,2025-08-07,1
20,735399,1735399,10000,2025-02-13,1
21,770921,1770921,10000,2025-02-06,1
22,151001,1151001,10000,2025-09-28,1
23,126630,1126630,10000,2025-09-21,1
24,227347,1227347,10000,2025-10-07,1
25,709959,1709959,10000,2025-09-07,1
26,78106,1078106,10000,2025-11-14,1
27,349740,1349740,10000,2025-04-28,1
28,314687,1314687,10000,2025-03-14,1
29,764633,1764633,10000,2025-07-07,1
30,656493,1656493,10000,2025-06-14,1
31,694723,1694723,10000,2025-01-06,1
32,944006,1944006,10000,2025-10-21,1
33,969624,1969624,10000,2025-11-14,1
34,227474,1227474,10000,2025-08-28,1
35,374460,1374460,10000,2025-07-14,1
36,907115,1907115,10000,2025-04-28,1
37,374941,1374941,10000,2025-07-21,1
38,138996,1138996,10000,2025-01-27,1
39,739339,1739339,10000,2025-09-21,1
40,395115,1395115,10000,2025-01-20,1
41,116475,1116475,10000,2025-07-21,1
42,519027,1519027,10000,2025-09-07,1
43,422226,1422226,10000,2025-12-28,1
44,831208,1831208,10000,2025-06-14,1
45,217027,1217027,10000,2025-08-07,1
46,371554,1371554,10000,2025-08-28,1
47,629876,1629876,10000,2025-05-14,1
48,30567,1030567,10000,2025-03-07,1
49,377559,1377559,10000,2025-11-14,1
50,275049,1275049,10000,2025-03-14,1
51,670001,1670001,10000,2025-10-07,1
52,477909,1477909,10000,2025-09-07,1
53,817939,1817939,10000,2025-04-28,1
54,941275,1941275,10000,2025-03-07,1
55,512562,1512562,10000,2025-12-28,1
56,221002,1221002,10000,2025-01-20,1
57,469,1000469,10000,2025-10-21,1
58,643197,1643197,10000,2025-09-07,1
59,150761,1150761,10000,2025-05-28,1
60,39798,1039798,10000,2025-07-14,1
61,345641,1345641,10000,2025-06-07,1
62,31583,1031583,10000,2025-09-21,1
63,405445,1405445,10000,2025-06-14,1
64,53782,1053782,10000,2025-10-21,1
65,98355,1098355,10000,2025-12-28,1
66,892842,1892842,10000,2025-07-14,1
67,748634,1748634,10000,2025-10-14,1
68,14608,1014608,10000,2025-09-14,1
69,954069,1954069,10000,2025-09-28,1
70,514231,1514231,10000,2025-03-21,1
71,224926,1224926,10000,2025-06-07,1
72,317163,1317163,10000,2025-12-28,1
73,592379,1592379,10000,2025-05-28,1
74,543864,1543864,10000,2025-12-07,1
75,836901,1836901,10000,2025-08-07,1
76,705457,1705457,10000,2025-04-14,1
77,746471,1746471,10000,2025-11-28,1
78,724997,1724997,10000,2025-11-28,1
79,413041,1413041,10000,2025-05-07,1
80,490240,1490240,10000,2025-03-07,1
81,284199,1284199,10000,2025-06-21,1
82,340196,1340196,10000,2025-06-28,1
83,723897,1723897,10000,2025-10-14,1
84,347631,1347631,10000,2025-06-28,1
85,471691,1471691,10000,2025-03-21,1
86,17126,1017126,10000,2025-10-21,1
87,331917,1331917,10000,2025-05-28,1
88,731324,1731324,10000,2025-10-07,1
89,944437,1944437,10000,2025-12-21,1
90,38076,1038076,10000,2025-12-14,1
91,709131,1709131,10000,2025-04-14,1
92,989942,1989942,10000,2025-02-13,1
93,911608,1911608,10000,2025-03-14,1
94,930424,1930424,10000,2025-12-07,1
95,608280,1608280,10000,2025-06-21,1
96,247235,1247235,10000,2025-07-14,1
97,723810,1723810,10000,2025-10-21,1
98,458574,1458574,10000,2025-12-21,1
99,852905,1852905,10000,2025-11-28,1
100,164877,1164877,10000,2025-10-28,1
101,845131,1845131,10000,2025-02-13,1
102,791985,1791985,10000,2025-01-06,1
103,967635,1967635,10000,2025-04-28,1
104,407299,1407299,10000,2025-07-28,1
105,386424,1386424,10000,2025-12-07,1
106,172787,1172787,10000,2025-03-28,1
107,450421,1450421,10000,2025-09-07,1
108,569907,1569907,10000,2025-02-27,1
109,732120,1732120,10000,2025-04-07,1
110,253408,1253408,10000,2025-04-21,1
111,558914,1558914,10000,2025-07-07,1
112,310960,1310960,10000,2025-06-28,1
113,838948,1838948,10000,2025-11-28,1
114,590371,1590371,10000,2025-04-21,1
115,953924,1953924,10000,2025-02-20,1
116,851937,1851937,10000,2025-08-07,1
117,923695,1923695,10000,2025-11-21,1
118,299465,1299465,10000,2025-08-14,1
119,498189,1498189,10000,2025-10-14,1
120,467563,1467563,10000,2025-04-14,1
121,802038,1802038,10000,2025-02-20,1
122,60850,1060850,10000,2025-01-06,1
123,924627,1924627,10000,2025-12-28,1
124,286941,1286941,10000,2025-05-21,1
125,37878,1037878,10000,2025-11-28,1
126,777423,1777423,10000,2025-04-07,1
127,284628,1284628,10000,2025-04-07,1
128,627794,1627794,10000,2025-10-14,1
129,37505,1037505,10000,2025-01-20,1
130,865329,1865329,10000,2025-01-20,1
131,875850,1875850,10000,2025-05-14,1
132,431077,1431077,10000,2025-04-21,1
133,183180,1183180,10000,2025-02-06,1
134,789786,1789786,10000,2025-10-14,1
135,918320,1918320,10000,2025-11-28,1
136,325689,1325689,10000,2025-07-14,1
137,342414,1342414,10000,2025-11-07,1
138,320071,1320071,10000,2025-06-21,1
139,449798,1449798,10000,2025-09-07,1
140,181839,1181839,10000,2025-03-07,1
141,39615,1039615,10000,2025-08-21,1
142,220195,1220195,10000,2025-11-07,1
143,216234,1216234,10000,2025-10-07,1
144,745964,1745964,10000,2025-05-21,1
145,252279,1252279,10000,2025-11-14,1
146,331687,1331687,10000,2025-08-21,1
147,868953,1868953,10000,2025-01-13,1
148,791261,1791261,10000,2025-09-21,1
149,726170,1726170,10000,2025-02-06,1
150,226638,1226638,10000,2025-11-07,1
151,939492,1939492,10000,2025-09-14,1
152,897025,1897025,10000,2025-08-28,1
153,315295,1315295,10000,2025-06-14,1
154,383232,1383232,10000,2025-09-14,1
155,660839,1660839,10000,2025-08-21,1
156,173704,1173704,10000,2025-02-06,1
157,336201,1336201,10000,2025-06-28,1
158,283060,1283060,10000,2025-10-07,1
159,424391,1424391,10000,2025-10-28,1
160,708303,1708303,10000,2025-11-28,1
161,244861,1244861,10000,2025-09-07,1
162,60592,1060592,10000,2025-01-27,1
163,82918,1082918,10000,2025-05-21,1
164,170601,1170601,10000,2025-07-28,1
165,278077,1278077,10000,2025-05-07,1
166,844107,1844107,10000,2025-07-14,1
167,712876,1712876,10000,2025-01-13,1
168,952063,1952063,10000,2025-08-21,1
169,629008,1629008,10000,2025-04-14,1
170,319366,1319366,10000,2025-10-28,1
171,449236,1449236,10000,2025-02-20,1
172,154903,1154903,10000,2025-03-07,1
173,708889,1708889,10000,2025-09-14,1
174,567033,1567033,10000,2025-12-28,1
175,208585,1208585,10000,2025-07-21,1
176,44575,1044575,10000,2025-06-21,1
177,569256,1569256,10000,2025-03-07,1
178,400361,1400361,10000,2025-07-28,1
179,775987,1775987,10000,2025-09-28,1
180,577245,1577245,10000,2025-03-14,1
181,36203,1036203,10000,2025-07-14,1
182,749213,1749213,10000,2025-12-21,1
183,17219,1017219,10000,2025-02-20,1
184,170561,1170561,10000,2025-04-14,1
185,175079,1175079,10000,2025-02-20,1
186,61194,1061194,10000,2025-10-21,1
187,72103,1072103,10000,2025-02-27,1
188,352747,1352747,10000,2025-01-13,1
189,304900,1304900,10000,2025-04-21,1
190,220663,1220663,10000,2025-05-28,1
191,380260,1380260,10000,2025-11-07,1
192,618525,1618525,10000,2025-01-13,1
193,152810,1152810,10000,2025-10-07,1
194,744591,1744591,10000,2025-01-20,1
195,209609,1209609,10000,2025-03-28,1
196,941500,1941500,10000,2025-04-07,1
197,648025,1648025,10000,2025-12-28,1
198,944239,1944239,10000,2025-12-14,1
199,604282,1604282,10000,2025-03-28,1
200,167098,1167098,10000,2025-10-21,1
201,619036,1619036,10000,2025-04-28,1
202,957549,1957549,10000,2025-10-07,1
203,177507,1177507,10000,2025-02-27,1
204,834583,1834583,10000,2025-07-21,1
205,640277,1640277,10000,2025-07-28,1
206,561112,1561112,10000,2025-05-28,1
207,789710,1789710,10000,2025-09-14,1
208,328267,1328267,10000,2025-01-27,1
209,864472,1864472,10000,2025-12-07,1
210,224928,1224928,10000,2025-06-28,1
211,608198,1608198,10000,2025-09-21,1
212,657885,1657885,10000,2025-03-28,1
213,3512,1003512,10000,2025-05-14,1
214,746010,1746010,10000,2025-07-21,1
215,493983,1493983,10000,2025-06-28,1
216,497905,1497905,10000,2025-07-28,1
217,867333,1867333,10000,2025-10-14,1
218,142213,1142213,10000,2025-12-21,1
219,125581,1125581,10000,2025-07-21,1
220,497430,1497430,10000,2025-01-27,1
221,980087,1980087,10000,2025-07-28,1
222,626228,1626228,10000,2025-10-28,1
223,517435,1517435,10000,2025-05-21,1
224,859620,1859620,10000,2025-10-28,1
225,495725,1495725,10000,2025-04-14,1
226,411184,1411184,10000,2025-08-28,1
227,458546,1458546,10000,2025-06-07,1
228,622118,1622118,10000,2025-06-21,1
229,446291,1446291,10000,2025-12-07,1
230,742518,1742518,10000,2025-06-07,1
231,832593,1832593,10000,2025-06-07,1
232,967900,1967900,10000,2025-09-07,1
233,724158,1724158,10000,2025-07-07,1
234,294718,1294718,10000,2025-02-13,1
235,18430,1018430,10000,2025-01-06,1
236,598758,1598758,10000,2025-06-28,1
237,889942,1889942,10000,2025-05-14,1
238,614044,1614044,10000,2025-04-21,1
239,364543,1364543,10000,2025-05-14,1
240,407984,1407984,10000,2025-08-21,1
241,448536,1448536,10000,2025-12-14,1
242,7123,1007123,10000,2025-05-28,1
243,395636,1395636,10000,2025-01-27,1
244,364409,1364409,10000,2025-03-28,1
245,834129,1834129,10000,2025-06-14,1
246,391755,1391755,10000,2025-02-20,1
247,745486,1745486,10000,2025-02-13,1
248,313635,1313635,10000,2025-07-28,1
249,147126,1147126,10000,2025-10-28,1
250,751879,1751879,10000,2025-12-07,1
251,907734,1907734,10000,2025-01-06,1
252,260912,1260912,10000,2025-03-14,1
253,465536,1465536,10000,2025-01-13,1
254,292978,1292978,10000,2025-10-28,1
255,961452,1961452,10000,2025-10-14,1
256,696721,1696721,10000,2025-03-21,1
257,899176,1899176,10000,2025-06-07,1
258,349471,1349471,10000,2025-04-07,1
259,242475,1242475,10000,2025-12-21,1
260,917290,1917290,10000,2025-10-21,1
261,931681,1931681,10000,2025-02-06,1
262,607949,1607949,10000,2025-06-07,1
263,591609,1591609,10000,2025-04-21,1
264,964853,1964853,10000,2025-02-20,1
265,615342,1615342,10000,2025-05-07,1
266,209988,1209988,10000,2025-03-21,1
267,750112,1750112,10000,2025-08-21,1
268,217507,1217507,10000,2025-12-14,1
269,207537,1207537,10000,2025-03-21,1
270,869654,1869654,10000,2025-10-21,1
271,971205,1971205,10000,2025-11-28,1
272,476217,1476217,10000,2025-06-21,1
273,411206,1411206,10000,2025-05-07,1
274,811004,1811004,10000,2025-09-07,1
275,179596,1179596,10000,2025-03-28,1
276,354268,1354268,10000,2025-04-14,1
277,358222,1358222,10000,2025-02-13,1
278,660866,1660866,10000,2025-04-21,1
279,204390,1204390,10000,2025-03-07,1
280,160587,1160587,10000,2025-09-07,1
281,398546,1398546,10000,2025-09-21,1
282,3727,1003727,10000,2025-11-21,1
283,856606,1856606,10000,2025-10-28,1
284,198147,1198147,10000,2025-08-07,1
285,159970,1159970,10000,2025-01-13,1
286,825533,1825533,10000,2025-07-07,1
287,610263,1610263,10000,2025-07-14,1
288,51326,1051326,10000,2025-10-07,1
289,776661,1776661,10000,2025-02-06,1
290,926057,1926057,10000,2025-07-21,1
291,514024,1514024,10000,2025-02-06,1
292,337253,1337253,10000,2025-01-06,1
293,830748,1830748,10000,2025-03-07,1
294,244757,1244757,10000,2025-12-14,1
295,727544,1727544,10000,2025-09-07,1
296,794095,1794095,10000,2025-07-21,1
297,549078,1549078,10000,2025-03-14,1
298,451710,1451710,10000,2025-10-21,1
299,462892,1462892,10000,2025-02-27,1
